source_system,source_customer_id,expected_golden_customer_id
BRAZE,BRAZE_D2DDB2056ECE,P00007057
OPERA,OPERA_9EE039457E6D,P00007058
OPERA,OPERA_59822AFC6B45,P00007059
OPERA,OPERA_8FC182B9976C,P00007060
OPERA,OPERA_5478B9A5C9BB,P00007061
BRAZE,BRAZE_89B0096EE56E,P00007061
APP,APP_598EED7CDA98,P00007062
B4T,B4T_B9024F1CB98B,P00007062
BRAZE,BRAZE_8140BF5AE7B8,P00007062
OPERA,OPERA_A304DDA8C03F,P00007063
OPERA,OPERA_7D502E7296BB,P00007064
OPERA,OPERA_72E68E05ACEA,P00007065
B4T,B4T_67BCDF78B598,P00007066
OPERA,OPERA_8BF1458DA1C1,P00007067
OPERA,OPERA_572181520F2F,P00007068
B4T,B4T_626555A1BA57,P00007069
OPERA,OPERA_85B5761117FD,P00007069
APP,APP_E3B45D82FB01,P00007069
OPERA,OPERA_54DB3B2FD963,P00007070
BRAZE,BRAZE_E6D16258CBF1,P00007070
BRAZE,BRAZE_0E2CB7A21824,P00007070
OPERA,OPERA_6090C77EDDA5,P00007071
OPERA,OPERA_11864F4AB77B,P00007072
OPERA,OPERA_14380CDC2E22,P00007073
OPERA,OPERA_283B49977BF2,P00007074
B4T,B4T_0F01EC9F58D9,P00007074
B4T,B4T_C2D36DB20D55,P00007075
B4T,B4T_CF1954761F1C,P00007076
B4T,B4T_950F3A2EF73B,P00007077
OPERA,OPERA_77588B8EC3BE,P00007078
BRAZE,BRAZE_CC35485603D4,P00007078
OPERA,OPERA_0F7DB2A345DA,P00007079
OPERA,OPERA_6A6EA3EEAA7E,P00007080
B4T,B4T_BEAEF2046DBE,P00007081
BRAZE,BRAZE_D1BD91F6C048,P00007082
APP,APP_E905ED0092B1,P00007083
BRAZE,BRAZE_94107DE0D203,P00007083
B4T,B4T_FA82990FD2F4,P00007084
B4T,B4T_9AEF55D1DD3A,P00007085
BRAZE,BRAZE_5A2F3ACA822B,P00007086
OPERA,OPERA_CA2DF349F9B4,P00007086
B4T,B4T_673A30972F6F,P00007087
APP,APP_6C9DA98283F5,P00007088
APP,APP_945ECF5319A8,P00007089
BRAZE,BRAZE_5993D98BD6F9,P00007090
OPERA,OPERA_45C314457D21,P00007091
APP,APP_E588DB35E8CC,P00007091
B4T,B4T_CDA6909B0AF0,P00007092
APP,APP_DDC81FFA9715,P00007092
BRAZE,BRAZE_2F2B2B745FCC,P00007093
OPERA,OPERA_05A03EE4AC76,P00007094
OPERA,OPERA_F303ACC71554,P00007095
B4T,B4T_F29C728376F5,P00007096
BRAZE,BRAZE_711AB71C31FE,P00007097
OPERA,OPERA_64B48A88DF88,P00007098
BRAZE,BRAZE_D5A485005E56,P00007099
OPERA,OPERA_C5A79CF0F5B3,P00007100
BRAZE,BRAZE_9700A657DAA1,P00007101
BRAZE,BRAZE_CCED4E398E19,P00007102
BRAZE,BRAZE_8A210A1F19A5,P00007103
BRAZE,BRAZE_277216898085,P00007104
BRAZE,BRAZE_51500BD544E3,P00007105
OPERA,OPERA_E9184C374DCE,P00007106
OPERA,OPERA_89B3B72C7976,P00007107
B4T,B4T_84C8B3C0FBEF,P00007108
BRAZE,BRAZE_D7D3C9C5A308,P00007108
OPERA,OPERA_9EF717A04EB0,P00007109
BRAZE,BRAZE_FF667337DD50,P00007109
BRAZE,BRAZE_D0D3B007BC28,P00007110
B4T,B4T_EDCA1F03113E,P00007110
OPERA,OPERA_6A49B6CC604E,P00007111
OPERA,OPERA_5AB66933DAF2,P00007112
B4T,B4T_C3FA115B368E,P00007113
B4T,B4T_06A5AB06D587,P00007114
OPERA,OPERA_7E061020064D,P00007115
B4T,B4T_53B1E5905606,P00007116
B4T,B4T_3B85EBC66705,P00007117
OPERA,OPERA_C18C2906B489,P00007118
B4T,B4T_EB13B995BAD7,P00007119
APP,APP_1CD3DA961850,P00007119
B4T,B4T_C3294F091640,P00007120
B4T,B4T_5E1BE1F91492,P00007121
BRAZE,BRAZE_41ED36487E27,P00007122
OPERA,OPERA_3A869643F1C1,P00007123
BRAZE,BRAZE_BBCE462B3A91,P00007124
BRAZE,BRAZE_6786ABF3766C,P00007124
OPERA,OPERA_05E48554D152,P00007125
APP,APP_3CA15CB71445,P00007125
BRAZE,BRAZE_EA942BAF39AB,P00007125
BRAZE,BRAZE_F87A3998CDF5,P00007126
OPERA,OPERA_31A9D856B82E,P00007127
BRAZE,BRAZE_4593E0DA115E,P00007128
APP,APP_F0302BF3C607,P00007129
BRAZE,BRAZE_02A7D4DCFFE5,P00007130
B4T,B4T_773DCCF39638,P00007131
B4T,B4T_B363CF8610EA,P00007132
OPERA,OPERA_4926D2951005,P00007133
B4T,B4T_E10DAF51B362,P00007134
B4T,B4T_C6312D04BFDD,P00007135
OPERA,OPERA_733BEFDB82EB,P00007136
B4T,B4T_3CEA820D482A,P00007137
OPERA,OPERA_4F902EA8FD06,P00007138
B4T,B4T_1C2F3630E0A2,P00007138
B4T,B4T_35362116307A,P00007138
BRAZE,BRAZE_263A60854989,P00007139
BRAZE,BRAZE_B0FBB86F1AA8,P00007140
BRAZE,BRAZE_52C4A76B48BE,P00007141
OPERA,OPERA_5DB94AF8EE42,P00007142
B4T,B4T_04609F04E069,P00007143
B4T,B4T_98E34B3B8594,P00007143
OPERA,OPERA_30467DB80041,P00007144
BRAZE,BRAZE_20BC3E54046B,P00007145
BRAZE,BRAZE_982C50E9D3FA,P00007146
OPERA,OPERA_532546364E4D,P00007147
BRAZE,BRAZE_C1D886DA2B83,P00007148
BRAZE,BRAZE_24D2A7A6915A,P00007149
BRAZE,BRAZE_E8FE974636A0,P00007150
APP,APP_01CE3FC1A5B5,P00007151
APP,APP_35590A8F0563,P00007151
B4T,B4T_D78E17C7427A,P00007152
OPERA,OPERA_DD44E6331691,P00007153
OPERA,OPERA_0B979A7E9994,P00007154
BRAZE,BRAZE_7EB8ABE85A80,P00007155
APP,APP_F3578C76FE79,P00007155
OPERA,OPERA_F014FD137893,P00007156
OPERA,OPERA_1E9EDF14D095,P00007157
B4T,B4T_269C73D3ABD1,P00007157
APP,APP_C516ABF87AE8,P00007157
OPERA,OPERA_F5A7AE140447,P00007158
B4T,B4T_E08014F988C8,P00007159
OPERA,OPERA_FDDF88519A2D,P00007159
B4T,B4T_3198DCA2BA6C,P00007160
OPERA,OPERA_E8AF2DBBBCED,P00007161
B4T,B4T_D42DCE4C6172,P00007162
BRAZE,BRAZE_3DF15F529664,P00007163
OPERA,OPERA_4CB70438047F,P00007164
OPERA,OPERA_E7294C612823,P00007165
B4T,B4T_F659D2E738D7,P00007166
APP,APP_CD7D18EE6F38,P00007167
B4T,B4T_044FB6EB2778,P00007168
B4T,B4T_B154E9B1FD92,P00007169
B4T,B4T_394483201C7B,P00007169
BRAZE,BRAZE_09C608D983AE,P00007170
OPERA,OPERA_1162735374B4,P00007171
OPERA,OPERA_3A77D265A6C1,P00007172
B4T,B4T_01B204C298B5,P00007173
APP,APP_009CA0568DBE,P00007173
OPERA,OPERA_6E3F3FF9F9CC,P00007174
B4T,B4T_F42D4F33033D,P00007175
OPERA,OPERA_48298C478199,P00007176
B4T,B4T_8D9A4569F12E,P00007177
B4T,B4T_523C967CFD9A,P00007178
OPERA,OPERA_D707804F3A82,P00007179
B4T,B4T_300A2E858E1B,P00007180
BRAZE,BRAZE_7EF4169C79F1,P00007181
OPERA,OPERA_C0081422CA8C,P00007182
BRAZE,BRAZE_13054640FDDB,P00007183
BRAZE,BRAZE_47FD870AB585,P00007184
BRAZE,BRAZE_F7E8E47F84B8,P00007185
BRAZE,BRAZE_9C83C8D388B4,P00007186
OPERA,OPERA_0ABA4BD0F426,P00007187
OPERA,OPERA_6E5619C984E3,P00007188
OPERA,OPERA_88BA4AE0BD77,P00007189
B4T,B4T_6B4E0A30ED3A,P00007190
B4T,B4T_A4EEA0698498,P00007191
B4T,B4T_7E65395F3940,P00007192
BRAZE,BRAZE_08DD0B855594,P00007193
BRAZE,BRAZE_E0325176A204,P00007194
OPERA,OPERA_8118A1308771,P00007195
B4T,B4T_892769B4155B,P00007195
APP,APP_6ABF7390F0CD,P00007195
BRAZE,BRAZE_1EEE58BAFF71,P00007196
OPERA,OPERA_ECDC0370A000,P00007197
B4T,B4T_EE14D6E92808,P00007198
BRAZE,BRAZE_A0CEEA85F9BE,P00007198
OPERA,OPERA_6F1D55FC019F,P00007198
OPERA,OPERA_A1D0AA42F339,P00007199
OPERA,OPERA_D73321C7E229,P00007200
BRAZE,BRAZE_143A8659E518,P00007200
B4T,B4T_88285C58825F,P00007200
OPERA,OPERA_3DC3B429C21D,P00007201
BRAZE,BRAZE_486CCC41FDAD,P00007202
BRAZE,BRAZE_0F4AF32671F6,P00007202
B4T,B4T_B7DDA6AA0FF6,P00007203
B4T,B4T_072BD3F6C0B1,P00007204
OPERA,OPERA_5C76CB2160B0,P00007205
APP,APP_87C8AC9619B1,P00007205
APP,APP_A8D513EF7F4F,P00007205
OPERA,OPERA_3F119DDD8580,P00007206
BRAZE,BRAZE_A73B14293F01,P00007206
B4T,B4T_B6BB3F8ABB9A,P00007207
APP,APP_143719E017B1,P00007207
B4T,B4T_AE3D30BE57F6,P00007207
APP,APP_5037D92FE81F,P00007208
OPERA,OPERA_BB15CB92461C,P00007209
OPERA,OPERA_6E6A102F8ED8,P00007210
OPERA,OPERA_7094CD6F8757,P00007210
B4T,B4T_D95909EE2495,P00007211
APP,APP_CBF64D2592B5,P00007212
B4T,B4T_918E77AA47B2,P00007213
B4T,B4T_9FF4A157ADF1,P00007214
APP,APP_2AFAACFF6FBE,P00007214
OPERA,OPERA_21B33BD37C14,P00007215
B4T,B4T_6BCE1CBA0552,P00007216
BRAZE,BRAZE_E8296C492A4E,P00007217
APP,APP_224B9555EFE5,P00007217
B4T,B4T_E87796442B5B,P00007218
BRAZE,BRAZE_E0945E157F2E,P00007218
OPERA,OPERA_6B87E7229D31,P00007219
B4T,B4T_522F800D1BA0,P00007220
BRAZE,BRAZE_BFDC5773C3E0,P00007220
OPERA,OPERA_33F755302E1B,P00007220
APP,APP_C573AF04BC3A,P00007221
OPERA,OPERA_71EF811B1BD7,P00007222
BRAZE,BRAZE_45E78BAAAFCD,P00007223
B4T,B4T_BE2AF2589B82,P00007224
BRAZE,BRAZE_6F005EE23106,P00007225
OPERA,OPERA_9E67CF82A523,P00007225
B4T,B4T_61B862DCDE4C,P00007226
B4T,B4T_BA5D995114B4,P00007227
BRAZE,BRAZE_F4C02838A07F,P00007228
B4T,B4T_F97D8D81B8A8,P00007228
OPERA,OPERA_4637FF1F0215,P00007229
OPERA,OPERA_BFC03C918BFC,P00007230
APP,APP_BB48DD7BEF8B,P00007230
OPERA,OPERA_A8C10BEC3A67,P00007231
BRAZE,BRAZE_8476760C5EC8,P00007232
OPERA,OPERA_42E5B997F96D,P00007233
BRAZE,BRAZE_9FD235F88280,P00007233
BRAZE,BRAZE_1E3533BE9441,P00007234
BRAZE,BRAZE_5EFFECD97C37,P00007235
BRAZE,BRAZE_5ECD90918DA5,P00007236
OPERA,OPERA_8F89C798CEB6,P00007237
OPERA,OPERA_4F7CEEE29C5F,P00007238
BRAZE,BRAZE_F1F2614E94B1,P00007238
OPERA,OPERA_041FFE567693,P00007239
OPERA,OPERA_8AE59822C250,P00007240
B4T,B4T_F2D42DC3297F,P00007241
OPERA,OPERA_8DDFD70A23F6,P00007241
APP,APP_A68EC61A9A0E,P00007241
APP,APP_B75D68AD814B,P00007242
APP,APP_10F632247E44,P00007242
OPERA,OPERA_A7476779CC3C,P00007243
OPERA,OPERA_436A6CB4DC59,P00007244
OPERA,OPERA_EB62B72D830C,P00007245
B4T,B4T_C219A482586D,P00007246
BRAZE,BRAZE_6E08F3E02261,P00007247
BRAZE,BRAZE_209DEE912BB5,P00007247
OPERA,OPERA_B8BDF6DC537E,P00007248
OPERA,OPERA_36331CD39ED2,P00007249
BRAZE,BRAZE_70C2FE88F376,P00007250
OPERA,OPERA_2F3D205533A7,P00007250
BRAZE,BRAZE_0D62264847DC,P00007250
OPERA,OPERA_E4E800704267,P00007251
B4T,B4T_AC9209B3F20A,P00007252
B4T,B4T_9202E09A3B4C,P00007253
APP,APP_A96BF9148ED9,P00007254
OPERA,OPERA_FBBC96DF57DB,P00007255
B4T,B4T_150E7B9FA56B,P00007255
BRAZE,BRAZE_C700A9115B66,P00007255
B4T,B4T_3B4BA74F330A,P00007256
OPERA,OPERA_C88791B836A1,P00007257
BRAZE,BRAZE_52CB85200978,P00007258
OPERA,OPERA_8E11224A80F2,P00007259
OPERA,OPERA_03CC8C0A7BBB,P00007260
APP,APP_B9EAB511272D,P00007260
OPERA,OPERA_9ADDFA3F3444,P00007261
OPERA,OPERA_4B7174D83D08,P00007262
BRAZE,BRAZE_4BEDFF052AAE,P00007262
APP,APP_223567096BA6,P00007262
B4T,B4T_A372581568DD,P00007263
BRAZE,BRAZE_5C2DA1287792,P00007264
B4T,B4T_5F5AC644F12C,P00007265
OPERA,OPERA_399560FCE815,P00007266
BRAZE,BRAZE_5BCF4D3895AA,P00007267
BRAZE,BRAZE_9B634600D1E0,P00007268
BRAZE,BRAZE_813D2021128D,P00007269
B4T,B4T_46D6AE291504,P00007270
B4T,B4T_1AEBC1014A7B,P00007271
B4T,B4T_E5AB4F58EB66,P00007272
OPERA,OPERA_7B438AD65EB9,P00007273
BRAZE,BRAZE_8EF40466D56B,P00007273
BRAZE,BRAZE_A3BD3DEB56FA,P00007273
B4T,B4T_CFE0C64D8478,P00007274
B4T,B4T_5324BFC11581,P00007275
APP,APP_98FD5AA46836,P00007276
APP,APP_D477DF334EB6,P00007276
APP,APP_1AAFC2841652,P00007277
OPERA,OPERA_749985AFE7DC,P00007278
B4T,B4T_47B3C22BC68D,P00007279
APP,APP_1E9FB9B8FABB,P00007279
OPERA,OPERA_A1F1859DAB9D,P00007280
OPERA,OPERA_BB409EE8C803,P00007281
BRAZE,BRAZE_B36F96807E5C,P00007282
B4T,B4T_15DE42DCDBC6,P00007283
OPERA,OPERA_E3C2A301AFE9,P00007284
APP,APP_D006BCC77D03,P00007284
BRAZE,BRAZE_51C426952587,P00007284
B4T,B4T_B2C33B5B84FA,P00007285
OPERA,OPERA_BD9586914197,P00007286
BRAZE,BRAZE_AD9478FF5390,P00007287
APP,APP_D42AC9672CF6,P00007287
BRAZE,BRAZE_98728495C53A,P00007288
B4T,B4T_80B4CC5EDA9E,P00007288
BRAZE,BRAZE_4771C9C1405B,P00007289
B4T,B4T_9EF9CCD9D5F2,P00007290
BRAZE,BRAZE_652F85CB3FFB,P00007291
B4T,B4T_C0486C5922F6,P00007291
OPERA,OPERA_52F7E93B985B,P00007292
OPERA,OPERA_26BFB0EDEE56,P00007293
OPERA,OPERA_A1479CCEE5F6,P00007294
OPERA,OPERA_773023F53546,P00007295
OPERA,OPERA_834865FA5BAF,P00007296
APP,APP_1D2A70261A2C,P00007297
BRAZE,BRAZE_C8DA1015E007,P00007298
B4T,B4T_20FBFA98A81F,P00007299
OPERA,OPERA_51B11A0DBB3B,P00007299
APP,APP_8EA19F1D6C6E,P00007299
BRAZE,BRAZE_9C24C7AC7766,P00007300
OPERA,OPERA_26307C459A08,P00007301
BRAZE,BRAZE_6500A1479E44,P00007302
BRAZE,BRAZE_90743ECDC684,P00007303
OPERA,OPERA_36AFB008B135,P00007304
B4T,B4T_799C4BB77DA8,P00007305
BRAZE,BRAZE_2B7466FE2BCC,P00007306
OPERA,OPERA_20D419D15155,P00007306
BRAZE,BRAZE_6DEAFFD89279,P00007307
B4T,B4T_E8334941B6C4,P00007308
BRAZE,BRAZE_894C9815CD5F,P00007308
OPERA,OPERA_7285F9707140,P00007309
OPERA,OPERA_C2EA21CFB0DE,P00007310
B4T,B4T_619F04FF469F,P00007310
OPERA,OPERA_054B7D4BF3B5,P00007311
APP,APP_A8E7003E6A56,P00007311
BRAZE,BRAZE_BDA020E14672,P00007311
APP,APP_B9D1F1777E9F,P00007312
APP,APP_EE691CA47982,P00007313
B4T,B4T_ADABDDF16C33,P00007313
B4T,B4T_3FC3D6983E85,P00007314
B4T,B4T_9C48DE97966A,P00007315
OPERA,OPERA_3BAD6ABE1F21,P00007315
OPERA,OPERA_7A12B688E31A,P00007316
BRAZE,BRAZE_F1A724E41C00,P00007317
BRAZE,BRAZE_843DED7FA5EC,P00007318
OPERA,OPERA_466B172E32C0,P00007319
APP,APP_555B5CBDC70E,P00007319
B4T,B4T_289FCB29E7C1,P00007320
OPERA,OPERA_4CB5F127F33E,P00007320
OPERA,OPERA_C11E224AA170,P00007320
OPERA,OPERA_14F6F157E505,P00007321
OPERA,OPERA_7D968EC117CA,P00007322
APP,APP_85AD2F6392B2,P00007322
OPERA,OPERA_ED97E9B6772A,P00007323
BRAZE,BRAZE_1C8294EA0D4B,P00007324
OPERA,OPERA_78FCC90E7CAE,P00007324
APP,APP_A0BE256DAB28,P00007325
B4T,B4T_138F8751EFBC,P00007325
APP,APP_F288AD775F37,P00007325
BRAZE,BRAZE_CA321EDDAFB7,P00007326
APP,APP_8F37DC3A3161,P00007326
OPERA,OPERA_1C9B8C1D1965,P00007327
APP,APP_4C222DB08C64,P00007328
B4T,B4T_AEB4F0A6D4C0,P00007329
OPERA,OPERA_339F206C0D16,P00007330
BRAZE,BRAZE_9F0B032F0955,P00007331
OPERA,OPERA_B0C7C25B79C8,P00007332
OPERA,OPERA_D3AE40086781,P00007332
B4T,B4T_9BCDE4EFBA00,P00007333
OPERA,OPERA_B989B66A16A9,P00007334
BRAZE,BRAZE_33697A48EBD3,P00007334
B4T,B4T_5FFCAD926762,P00007334
B4T,B4T_A88681CD0DE8,P00007335
BRAZE,BRAZE_BD33FDFE3EBE,P00007336
OPERA,OPERA_107406258F87,P00007337
OPERA,OPERA_AD44A00D7A60,P00007337
BRAZE,BRAZE_B2AD3029DAF8,P00007338
BRAZE,BRAZE_A596ECF1C0FA,P00007339
OPERA,OPERA_8219E0494165,P00007340
OPERA,OPERA_405485D3C844,P00007340
OPERA,OPERA_86DD724EE323,P00007341
OPERA,OPERA_B6BDB2EBCF83,P00007342
APP,APP_A18CE921F0B0,P00007342
OPERA,OPERA_7DC6C2C54C9A,P00007343
OPERA,OPERA_89A0991EE1B9,P00007344
B4T,B4T_767F64EF86A6,P00007345
OPERA,OPERA_3628DD962C83,P00007346
BRAZE,BRAZE_E77D56750809,P00007347
APP,APP_D6B9AF1D8023,P00007348
APP,APP_44E32B416574,P00007349
OPERA,OPERA_AB57FA8FED3A,P00007350
OPERA,OPERA_A0A6AED3D470,P00007350
B4T,B4T_A8CED2A22726,P00007351
OPERA,OPERA_C009CE4C1B28,P00007351
BRAZE,BRAZE_9532D795FBC7,P00007352
OPERA,OPERA_94010608F709,P00007353
BRAZE,BRAZE_45BA2F4E39C8,P00007354
B4T,B4T_A5FFDE506789,P00007355
OPERA,OPERA_36932287859F,P00007356
B4T,B4T_0885CF1A76A7,P00007356
BRAZE,BRAZE_E6647A5C822E,P00007357
OPERA,OPERA_8F0843191DA9,P00007358
OPERA,OPERA_DF194ED661CC,P00007359
OPERA,OPERA_6F2CAE72A2F0,P00007360
B4T,B4T_CA027C00E01E,P00007361
B4T,B4T_FA76C9115C08,P00007362
OPERA,OPERA_7DF85317B004,P00007362
BRAZE,BRAZE_65DE9FA104DC,P00007362
OPERA,OPERA_F8574771F7EE,P00007363
OPERA,OPERA_F0656F337103,P00007364
BRAZE,BRAZE_7C1E7D9F3257,P00007364
OPERA,OPERA_8F6ACABB7EA2,P00007365
APP,APP_2351D7AFC144,P00007365
OPERA,OPERA_F90444F81C79,P00007366
BRAZE,BRAZE_E3AE453AB4F1,P00007367
APP,APP_57DC476A885A,P00007368
OPERA,OPERA_4302732CF55F,P00007368
B4T,B4T_D681BC5796C0,P00007369
OPERA,OPERA_EEAFCF85F2E6,P00007370
B4T,B4T_917AF1AD255D,P00007371
OPERA,OPERA_276C1E5C5CE2,P00007372
B4T,B4T_B2A492EA3F33,P00007373
OPERA,OPERA_9F6DCABB6608,P00007374
B4T,B4T_207A8BA75E82,P00007375
B4T,B4T_7E5FDC52B8B6,P00007376
OPERA,OPERA_0EEF5C5DF087,P00007377
APP,APP_8609490F231A,P00007378
OPERA,OPERA_BC3FD943FCC7,P00007379
OPERA,OPERA_A436CCCDD470,P00007380
BRAZE,BRAZE_BF4D9B7B4204,P00007381
BRAZE,BRAZE_74CC4E058377,P00007382
BRAZE,BRAZE_62CD1939B35A,P00007382
BRAZE,BRAZE_84175EFC1480,P00007383
OPERA,OPERA_0440657F8C42,P00007384
OPERA,OPERA_3853425DE36D,P00007385
B4T,B4T_9C82F9371F54,P00007386
BRAZE,BRAZE_068A3B032172,P00007386
B4T,B4T_48154A296755,P00007387
OPERA,OPERA_869E776E4FC1,P00007388
APP,APP_B485F15D149E,P00007388
OPERA,OPERA_9FF1056BC3FA,P00007388
B4T,B4T_B4A140098140,P00007389
BRAZE,BRAZE_8FC607177508,P00007390
BRAZE,BRAZE_AE85E38BB0DA,P00007391
B4T,B4T_B6F1F5D6241B,P00007392
B4T,B4T_D68D32CC154D,P00007393
OPERA,OPERA_74169E8224C7,P00007394
BRAZE,BRAZE_93C67BE3E863,P00007395
OPERA,OPERA_8BBDE9DD1E27,P00007396
OPERA,OPERA_A4E7FF1AEAD8,P00007397
BRAZE,BRAZE_C4983D3AD0DD,P00007398
B4T,B4T_A1CD1CDCC0BF,P00007399
BRAZE,BRAZE_35BDA81AD350,P00007400
OPERA,OPERA_294A0634E3CA,P00007400
APP,APP_82C2FA3E52A9,P00007400
OPERA,OPERA_A0CD5CA63EED,P00007401
BRAZE,BRAZE_1316B9544517,P00007401
BRAZE,BRAZE_9C78EACEDC9B,P00007402
OPERA,OPERA_8DEA90C50B96,P00007403
OPERA,OPERA_CDFCDCDCEAFA,P00007404
B4T,B4T_25AB5E9B9B0D,P00007405
OPERA,OPERA_BD7573870B49,P00007406
BRAZE,BRAZE_16A4F40312D0,P00007407
B4T,B4T_EE59265F1FD0,P00007407
OPERA,OPERA_D20D430411C0,P00007408
BRAZE,BRAZE_1766CA64F3B1,P00007409
OPERA,OPERA_F262B6F2A940,P00007410
BRAZE,BRAZE_2288BBD7F480,P00007410
OPERA,OPERA_C638997B18CD,P00007411
BRAZE,BRAZE_77472CDAEA04,P00007412
OPERA,OPERA_7869346BD0F1,P00007413
BRAZE,BRAZE_9EEF2BDF0163,P00007414
B4T,B4T_5C6A6B963B12,P00007415
OPERA,OPERA_4354288E6EE4,P00007415
B4T,B4T_2D2C8E5AB26A,P00007415
OPERA,OPERA_7E1F4E8DC492,P00007416
OPERA,OPERA_E4D646E3C94A,P00007417
BRAZE,BRAZE_162E57064D42,P00007418
B4T,B4T_79C068D2DA25,P00007419
B4T,B4T_3E31838C3112,P00007420
BRAZE,BRAZE_564DDC1F4060,P00007420
OPERA,OPERA_25E9FA848336,P00007421
B4T,B4T_256FCBD1D3BA,P00007421
OPERA,OPERA_098C7AAA524A,P00007421
APP,APP_DBA92952837F,P00007422
OPERA,OPERA_58FC9A6D26AB,P00007423
BRAZE,BRAZE_4A5D776C2389,P00007424
B4T,B4T_5F68BCADDA81,P00007425
B4T,B4T_14A6A305B73D,P00007426
BRAZE,BRAZE_0F19681CBA14,P00007427
OPERA,OPERA_2220F98C9A0F,P00007428
B4T,B4T_D4C5B63ACE17,P00007428
BRAZE,BRAZE_53F63BAD54D2,P00007429
BRAZE,BRAZE_464A8D4A38B9,P00007430
B4T,B4T_6ADE245270DD,P00007431
BRAZE,BRAZE_F14B9346C683,P00007432
OPERA,OPERA_32E897981514,P00007433
B4T,B4T_F85D49762687,P00007434
OPERA,OPERA_1E7E517EAA4D,P00007435
BRAZE,BRAZE_F1979323070F,P00007436
BRAZE,BRAZE_F009ADBCC35C,P00007436
B4T,B4T_815BFFFDF623,P00007437
BRAZE,BRAZE_9B95BDC53CFF,P00007438
APP,APP_E5249F9BA92B,P00007438
B4T,B4T_F17E98291370,P00007439
OPERA,OPERA_7D9F52459868,P00007440
APP,APP_CC0BB5B6EE28,P00007441
BRAZE,BRAZE_F473D823EBDD,P00007442
OPERA,OPERA_D9526A797FC7,P00007443
OPERA,OPERA_90469C3ED419,P00007444
BRAZE,BRAZE_F929F9633EB6,P00007445
B4T,B4T_888421C6D83F,P00007446
BRAZE,BRAZE_4DCC5A407A0A,P00007447
B4T,B4T_4B9C4F53A7D0,P00007447
OPERA,OPERA_B41ACB9BA407,P00007447
OPERA,OPERA_5BCB824EFD5D,P00007448
B4T,B4T_C576EAAC8ABD,P00007449
BRAZE,BRAZE_9AA2208A8B7B,P00007450
B4T,B4T_63825C430AAD,P00007451
B4T,B4T_B9B3ED56369E,P00007451
OPERA,OPERA_8792B3B962F0,P00007452
OPERA,OPERA_8CDE3A9EE02A,P00007453
B4T,B4T_DD5B9ECEE0CA,P00007453
B4T,B4T_66C9F1EE8420,P00007454
B4T,B4T_236FC15ECE20,P00007455
OPERA,OPERA_4E8A20A21540,P00007456
B4T,B4T_C36241B56D28,P00007457
OPERA,OPERA_8DD8936EE32A,P00007458
BRAZE,BRAZE_ED54FCE4D26A,P00007459
APP,APP_639FD87B1985,P00007459
OPERA,OPERA_B79F3C813582,P00007459
OPERA,OPERA_BCCC62ECE4B1,P00007460
OPERA,OPERA_20AD878BAE14,P00007461
APP,APP_70C192283FD1,P00007461
OPERA,OPERA_8DC885FAD2DB,P00007462
B4T,B4T_E7946DB25E61,P00007462
B4T,B4T_00665F19A891,P00007463
APP,APP_A6A42A35EDF8,P00007464
BRAZE,BRAZE_B10F228605F3,P00007465
OPERA,OPERA_B4E9302A2AB1,P00007466
BRAZE,BRAZE_53E80CB7F74C,P00007466
B4T,B4T_FDB00F156315,P00007467
B4T,B4T_DC0BFDAD359F,P00007468
APP,APP_C18934DA19FC,P00007468
B4T,B4T_6EA109D59A00,P00007469
OPERA,OPERA_40BB558B0124,P00007470
BRAZE,BRAZE_3A874AFA19AD,P00007471
OPERA,OPERA_D64AADC4926F,P00007472
BRAZE,BRAZE_D7C1CFF4737A,P00007472
B4T,B4T_6250E945180D,P00007472
OPERA,OPERA_3673D6D1EBC7,P00007473
B4T,B4T_B9EF4417C13A,P00007473
OPERA,OPERA_FF43EA1E45EA,P00007474
OPERA,OPERA_61C7C6D3B457,P00007475
OPERA,OPERA_51811204EC90,P00007476
BRAZE,BRAZE_C2CF5D43C9CD,P00007476
APP,APP_7DBE9DA0D688,P00007477
BRAZE,BRAZE_A32AAE73D540,P00007478
OPERA,OPERA_2F5911DBA8C9,P00007479
OPERA,OPERA_2A66D26BFFB7,P00007480
B4T,B4T_4E9C0B0B78A7,P00007481
BRAZE,BRAZE_DC086F986C5A,P00007482
BRAZE,BRAZE_D823A6A3CA2A,P00007483
OPERA,OPERA_500B97187DD3,P00007484
B4T,B4T_B480C1A64B47,P00007484
B4T,B4T_29AE811F9E5F,P00007484
BRAZE,BRAZE_1E62822D2F12,P00007485
BRAZE,BRAZE_5A5B6F014A73,P00007486
B4T,B4T_7ABDC929BFCC,P00007487
BRAZE,BRAZE_1193E7593C32,P00007487
BRAZE,BRAZE_025C6EA8FD64,P00007487
B4T,B4T_1E81A5DDD20A,P00007487
OPERA,OPERA_FA65C0EBACA9,P00007488
OPERA,OPERA_F185F90F5F63,P00007488
OPERA,OPERA_175ECE292474,P00007489
OPERA,OPERA_CC9F56F6A6E7,P00007490
APP,APP_FC78DE0C58EF,P00007491
BRAZE,BRAZE_45F968A8FC6B,P00007492
OPERA,OPERA_679E3194B704,P00007493
BRAZE,BRAZE_A5A1954531A3,P00007494
B4T,B4T_960354D661BD,P00007495
BRAZE,BRAZE_C05AD53065D8,P00007496
B4T,B4T_4C33E8B02628,P00007496
